gene_id	source_id	organism	score	e_value	gene_name	product_description	entrez_id	chromosome	orthologgroup	pfam_id	pfam_description	length
B9J08_001155	B9J08_001155-t37_1	Candida auris strain B8441	219	6E-62	N/A	hypothetical protein	N/A	Not Assigned	OG6_117062	PF11765	Hyphally regulated cell wall protein N-terminal	858
B9J08_001531	B9J08_001531-t37_1	Candida auris strain B8441	372	2E-115	N/A	hypothetical protein	N/A	Not Assigned	OG6_109925	PF11765;PF15789	Hyphally regulated cell wall protein N-terminal;Hyphally regulated cell wall GPI-anchored protein 1	1375
B9J08_004098	B9J08_004098-t37_1	Candida auris strain B8441	411	2E-130	N/A	hypothetical protein	N/A	Not Assigned	OG6_111527	PF11765	Hyphally regulated cell wall protein N-terminal	1247
B9J08_004100	B9J08_004100-t37_1	Candida auris strain B8441	396	3E-129	N/A	hypothetical protein	N/A	Not Assigned	OG6r3_100151	PF11765	Hyphally regulated cell wall protein N-terminal	760
B9J08_004109	B9J08_004109-t37_1	Candida auris strain B8441	637	0E0	N/A	hypothetical protein	N/A	Not Assigned	OG6_425797	PF11765;PF15789	Hyphally regulated cell wall protein N-terminal;Hyphally regulated cell wall GPI-anchored protein 1	2946
B9J08_004110	B9J08_004110-t37_1	Candida auris strain B8441	391	2E-128	N/A	hypothetical protein	N/A	Not Assigned	OG6_576287	PF11765	Hyphally regulated cell wall protein N-terminal	664
B9J08_004451	B9J08_004451-t37_1	Candida auris strain B8441	204	5E-57	N/A	hypothetical protein	N/A	Not Assigned	OG6_109925	PF11765	Hyphally regulated cell wall protein N-terminal	717
B9J08_004892	B9J08_004892-t37_1	Candida auris strain B8441	518	1E-167	N/A	hypothetical protein	N/A	Not Assigned	OG6_109925	PF11765;PF15789	Hyphally regulated cell wall protein N-terminal;Hyphally regulated cell wall GPI-anchored protein 1	1720
C1_13450W_A	C1_13450W_A-T	Candida albicans SC5314	95.9	1E-19	HYR1	GPI-anchored hyphal cell wall protein; macrophage-induced; repressed by neutrophils; resistance to killing by neutrophils, azoles; regulated by Rfg1, Efg1, Nrg1, Tup1, Cyr1, Bcr1, Hap43; Spider and flow model biofilm induced	3636226	1A	OG6_153397	PF11765	Hyphally regulated cell wall protein N-terminal	920
C1_13450W_B	C1_13450W_B-T	Candida albicans SC5314_B	96.3	8E-20	N/A	GPI-anchored hyphal cell wall protein; macrophage-induced; repressed by neutrophils; resistance to killing by neutrophils, azoles; regulated by Rfg1, Efg1, Nrg1, Tup1, Cyr1, Bcr1, Hap43; Spider and flow model biofilm induced	N/A	1B	OG6_153397	PF11765	Hyphally regulated cell wall protein N-terminal	920
C2_09130C_A	C2_09130C_A-T	Candida albicans SC5314	128	3E-30	IFF6	Putative GPI-anchored adhesin-like protein; opaque-specific transcript; macrophage-induced gene; Hap43-repressed gene; Spider biofilm induced	3644087	2A	OG6r3_225442	PF11765	Hyphally regulated cell wall protein N-terminal	1086
C2_09130C_B	C2_09130C_B-T	Candida albicans SC5314_B	132	2E-31	N/A	Putative GPI-anchored adhesin-like protein; opaque-specific transcript; macrophage-induced gene; Hap43-repressed gene; Spider biofilm induced	N/A	2B	OG6_188898	PF11765	Hyphally regulated cell wall protein N-terminal	1087
C3_00580W_A	C3_00580W_A-T	Candida albicans SC5314	79	5E-14	FLO9	Putative adhesin-like cell wall mannoprotein; repressed during the mating process; mutation confers hypersensitivity to toxic ergosterol analog; decreased transcription is observed upon fluphenazine treatment	3640581	3A	OG6_156086	PF11765	Hyphally regulated cell wall protein N-terminal	1245
C3_00580W_B	C3_00580W_B-T	Candida albicans SC5314_B	79	5E-14	N/A	Putative adhesin-like cell wall mannoprotein; repressed during the mating process; mutation confers hypersensitivity to toxic ergosterol analog; decreased transcription is observed upon fluphenazine treatment	N/A	3B	OG6_156086	PF11765	Hyphally regulated cell wall protein N-terminal	1245
C3_00600W_A	C3_00600W_A-T	Candida albicans SC5314	78.2	6E-14	IFF11	Secreted protein required for normal cell wall structure and for virulence; member of the IFF family; Hap43p-repressed gene	3640580	3A	OG6r3_122521	PF11765;PF13928	Hyphally regulated cell wall protein N-terminal;Flocculin type 3 repeat	512
C3_00600W_B	C3_00600W_B-T	Candida albicans SC5314_B	78.2	6E-14	N/A	Secreted protein required for normal cell wall structure and for virulence; member of the IFF family; Hap43p-repressed gene	N/A	3B	OG6r3_122521	PF11765;PF13928	Hyphally regulated cell wall protein N-terminal;Flocculin type 3 repeat	512
C4_06550C_A	C4_06550C_A-T	Candida albicans SC5314	122	6E-28	IFF5	Putative GPI-anchored protein; adhesin-like protein; possibly an essential gene, disruptants not obtained by UAU1 method	3642782	4A	OG6_109925	PF11765;PF15789	Hyphally regulated cell wall protein N-terminal;Hyphally regulated cell wall GPI-anchored protein 1	1309
C4_06550C_B	C4_06550C_B-T	Candida albicans SC5314_B	122	6E-28	N/A	Putative GPI-anchored protein; adhesin-like protein; possibly an essential gene, disruptants not obtained by UAU1 method	N/A	4B	OG6_109925	PF11765;PF15789	Hyphally regulated cell wall protein N-terminal;Hyphally regulated cell wall GPI-anchored protein 1	1309
C5_00710W_A	C5_00710W_A-T	Candida albicans SC5314	117	6E-27	IFF8	Putative GPI-anchored adhesin-like protein; decreased transcription is observed in an azole-resistant strain that overexpresses MDR1	3644117	5A	OG6_109925	PF11765	Hyphally regulated cell wall protein N-terminal	715
C5_00710W_B	C5_00710W_B-T	Candida albicans SC5314_B	115	2E-26	N/A	Putative GPI-anchored adhesin-like protein; decreased transcription is observed in an azole-resistant strain that overexpresses MDR1	N/A	5B	OG6_109925	PF11765	Hyphally regulated cell wall protein N-terminal	717
C5_00730W_A	C5_00730W_A-T	Candida albicans SC5314	142	8E-35	HYR3	Putative GPI-anchored adhesin-like protein; similar to Hyr1p induced in high iron; clade-specific repeat variation	3644119	5A	OG6r3_100151	PF11765;PF15789	Hyphally regulated cell wall protein N-terminal;Hyphally regulated cell wall GPI-anchored protein 1	1250
C5_00730W_B	C5_00730W_B-T	Candida albicans SC5314_B	142	8E-35	N/A	Putative GPI-anchored adhesin-like protein; similar to Hyr1p induced in high iron; clade-specific repeat variation	N/A	5B	OG6r3_100151	PF11765;PF15789	Hyphally regulated cell wall protein N-terminal;Hyphally regulated cell wall GPI-anchored protein 1	1250
C7_03290C_A	C7_03290C_A-T	Candida albicans SC5314	140	7E-34	RBR3	Cell wall adhesin-like protein; repressed by Rim101; possibly an essential gene, disruptants not obtained by UAU1 method	3646728	7A	OG6_499614	PF11765;PF15789	Hyphally regulated cell wall protein N-terminal;Hyphally regulated cell wall GPI-anchored protein 1	1563
