No,Chain,Z,rmsd,lali,nres,%id PDB,Description
1,3p4g-B,13.7,3.9,210,313,10,MOLECULE: ANTIFREEZE PROTEIN;
2,2odl-A,13.5,3.4,205,372,12,MOLECULE: ADHESIN;
3,6qps-A,12.5,4.1,237,447,6,MOLECULE: POLYSACCHARIDE LYASE FAMILY 6;
4,6n2c-A,12.4,3.1,203,409,14,MOLECULE: TAPIRIN;
5,2x3h-A,12.3,4.0,238,498,9,MOLECULE: K5 LYASE;
6,4rt6-A,11.9,3.5,220,805,13,MOLECULE: HEME/HEMOPEXIN-BINDING PROTEIN;
7,5z9t-A,11.9,4.5,239,499,6,MOLECULE: ALGINATE LYASE ALYF-OU02;
8,1wxr-A,11.7,3.9,210,1035,14,MOLECULE: HAEMOGLOBIN PROTEASE;
9,3ak5-A,11.6,4.0,208,970,14,MOLECULE: HEMOGLOBIN-BINDING PROTEASE HBP;
10,2vbk-A,11.6,3.5,208,511,9,MOLECULE: TAILSPIKE-PROTEIN;
11,6w4q-C,11.6,4.7,225,758,8,MOLECULE: TAIL FIBER;
12,4mr0-A,11.6,4.0,234,456,11,MOLECULE: PLASMIN AND FIBRONECTIN-BINDING PROTEIN A;
13,4om9-A,11.5,4.0,220,930,11,MOLECULE: SERINE PROTEASE PET;
14,3t57-A,11.4,12.4,188,288,9,MOLECULE: UDP-N-ACETYLGLUCOSAMINE O-ACYLTRANSFERASE DOMAIN-
15,1rwr-A,11.3,2.9,169,297,14,MOLECULE: FILAMENTOUS HEMAGGLUTININ;
16,3h09-B,11.3,4.2,211,964,13,MOLECULE: IMMUNOGLOBULIN A1 PROTEASE;
17,3jqy-A,11.3,11.5,166,233,7,MOLECULE: POLYSIALIC ACID O-ACETYLTRANSFERASE;
18,5w6h-A,11.2,4.1,216,697,13,MOLECULE: TAILSPIKE PROTEIN 4;
19,7akv-G,11.1,3.9,220,421,9,MOLECULE: PLASMA PROTEASE C1 INHIBITOR;
20,6nw9-C,11.1,3.9,219,619,11,MOLECULE: TAILSPIKE PROTEIN;
21,5g5o-E,11.1,3.6,204,348,9,MOLECULE: LH3 HEXON-INTERLACING CAPSID PROTEIN;
22,1dbg-A,11.1,4.2,231,481,6,MOLECULE: CHONDROITINASE B;
23,5f42-A,11.1,11.8,177,276,11,MOLECULE: ACYL-[ACYL-CARRIER-PROTEIN]--UDP-N-ACETYLGLUCOSAM
24,4nk6-A,11.0,3.3,207,424,11,MOLECULE: POLY(BETA-D-MANNURONATE) C5 EPIMERASE;
25,4q1q-A,11.0,3.6,200,274,14,MOLECULE: ADHESIN/INVASIN TIBA AUTOTRANSPORTER;
26,1dab-A,10.9,3.8,218,539,10,MOLECULE: P.69 PERTACTIN;
27,6tku-A,10.9,3.7,216,545,9,MOLECULE: DEPOLYMERASE KP32GP38;
28,2wlc-A,10.9,11.4,159,211,8,MOLECULE: POLYSIALIC ACID O-ACETYLTRANSFERASE;
29,3pmo-A,10.9,13.0,182,357,10,MOLECULE: UDP-3-O-[3-HYDROXYMYRISTOYL] GLUCOSAMINE N-ACYLTR
30,4peu-A,10.9,3.8,193,250,13,MOLECULE: UNCHARACTERIZED PROTEIN;
31,4e79-B,10.9,12.6,179,350,10,MOLECULE: UDP-3-O-ACYLGLUCOSAMINE N-ACYLTRANSFERASE;
32,4yz0-A,10.8,3.4,162,198,8,MOLECULE: PECTATE LYASE;
33,7c7d-A,10.8,3.5,222,539,9,MOLECULE: ALPHA-1_3-GLUCANASE;
34,6c72-A,10.8,3.7,217,579,6,MOLECULE: PARTICLE-ASSOCIATED GLYCOSIDE HYDROLASE;
35,3syj-A,10.8,3.3,218,920,13,MOLECULE: ADHESION AND PENETRATION PROTEIN AUTOTRANSPORTER;
36,2v0i-A,10.8,12.5,178,450,7,MOLECULE: BIFUNCTIONAL PROTEIN GLMU;
37,3eqn-A,10.8,3.9,225,752,8,MOLECULE: GLUCAN 1_3-BETA-GLUCOSIDASE;
38,1rmg-A,10.8,4.0,224,422,8,MOLECULE: RHAMNOGALACTURONASE A;
39,5lw3-A,10.8,4.0,222,381,8,MOLECULE: POLY(BETA-D-MANNURONATE) C5 EPIMERASE 6;
40,1j2z-A,10.8,11.9,185,259,9,MOLECULE: ACYL-[ACYL-CARRIER-PROTEIN]--UDP-N-ACETYLGLUCOSAM
41,2inu-A,10.7,3.9,215,399,8,MOLECULE: INSULIN FRUCTOTRANSFERASE;
42,3lmw-A,10.7,4.2,217,472,9,MOLECULE: IOTA-CARRAGEENASE CGIA;
43,4ru5-C,10.7,5.1,227,602,11,MOLECULE: TAILSPIKE GP27;
44,3hsq-A,10.7,12.6,187,259,7,MOLECULE: ACYL-[ACYL-CARRIER-PROTEIN]--UDP-N-
45,7k47-A,10.7,11.5,169,455,7,MOLECULE: BIFUNCTIONAL PROTEIN GLMU;
46,4n27-A,10.7,12.4,148,175,9,MOLECULE: BACTERIAL TRANSFERASE HEXAPEPTIDE REPEAT;
47,1k5c-A,10.6,4.1,214,333,12,MOLECULE: ENDOPOLYGALACTURONASE;
48,5zru-A,10.5,3.6,220,576,8,MOLECULE: ALPHA-1_3-GLUCANASE;
49,5ny0-A,10.5,4.6,207,343,11,MOLECULE: L. REUTERIS SRRP BINDING REGION;
50,1ia5-A,10.5,4.0,214,339,10,MOLECULE: POLYGALACTURONASE;
51,4r36-A,10.5,11.8,177,255,10,MOLECULE: PUTATIVE ACYL-[ACYL-CARRIER-PROTEIN]--UDP-N-
52,7jw4-A,10.4,4.2,210,591,10,MOLECULE: GLYCOSIDE HYDROLASE FAMILY 110;
53,5zku-F,10.4,4.6,220,443,7,MOLECULE: DFA-IIIASE;
54,6e1r-A,10.3,4.8,224,544,10,MOLECULE: TAILSPIKE PROTEIN;
55,1hm8-A,10.3,12.9,188,458,5,MOLECULE: UDP-N-ACETYLGLUCOSAMINE-1-PHOSPHATE URIDYLTRANSFE
56,1xhd-A,10.3,12.4,147,172,12,MOLECULE: PUTATIVE ACETYLTRANSFERASE/ACYLTRANSFERASE;
57,3suc-A,10.2,4.0,209,767,7,MOLECULE: PRENECK APPENDAGE PROTEIN;
58,5ke1-A,10.2,4.3,184,322,13,MOLECULE: OUTER MEMBRANE PROTEIN ICSA AUTOTRANSPORTER;
59,6eu4-A,10.2,4.1,214,587,6,MOLECULE: TAIL SPIKE PROTEIN;
60,6f7k-B,10.2,3.9,225,547,11,MOLECULE: TAILSPIKE;
61,1wmr-A,10.2,3.8,223,549,6,MOLECULE: ISOPULLULANASE;
