# TBLASTN 2.12.0+
# Query: Hil2_PIS49865.1_Cauris
# Database: ../input/blastdb/Cand_auris_strains
# Fields: subject id, % query coverage per subject, q. start, q. end, subject length, s. start, s. end, % identity, mismatches, evalue
# 13 hits found
gb|CP060378.1|	100	1	316	1003434	978576	977629	100.000	0	0.0
gb|CP060357.1|	100	1	316	996679	23937	24884	100.000	0	0.0
gb|CP060343.1|	100	1	316	1028427	978524	977577	100.000	0	0.0
gb|PGLS01000006.1|	100	1	316	996432	23963	24910	100.000	0	0.0
gb|CP060350.1|	100	1	316	997114	979950	979003	99.367	2	0.0
gb|CP043446.1|	100	1	316	988297	971031	970084	99.367	2	0.0
gb|CP060373.1|	99	2	316	945735	24707	25651	83.492	52	3.19e-163
gb|CP060358.1|	99	2	316	945302	925874	924930	83.492	52	3.31e-163
gb|PGLS01000005.1|	99	2	316	949235	23485	24429	83.492	52	3.31e-163
gb|CP060351.1|	99	2	316	984263	25469	26413	83.175	53	4.64e-163
gb|CP060379.1|	99	2	316	948455	15684	16628	83.175	53	4.92e-163
gb|CP060344.1|	99	2	316	978324	24996	25940	83.175	53	4.92e-163
gb|CP043447.1|	99	2	316	970309	944920	943976	83.175	53	1.28e-162
# BLAST processed 1 queries
