seq_id	alignment_start	alignment_end	envelope_start	envelope_end	hmm_acc	hmm_name	hmm_start	hmm_end	hmm_length	bit_score	Individual_e_value	Conditional_e_value	database_significant	outcompeted	clan
XP_462630.1_Dhansenii	13	334	11	334	PF11765.8	Hyphal_reg_CWP	3	328	328	291.39	7.2e-87	4.0e-91	1	0	
XP_002770057.1_Dhansenii	12	335	11	335	PF11765.8	Hyphal_reg_CWP	2	328	328	276.53	2.4e-82	1.3e-86	1	0	
XP_025344416.1_Chaemuloni	12	323	10	325	PF11765.8	Hyphal_reg_CWP	3	326	328	244.66	1.2e-72	1.3e-76	1	0	
XP_025344416.1_Chaemuloni	1637	1672	1633	1672	PF15789.5	Hyr1	5	41	41	21.58	0.00012	1.3e-08	1	0	
XP_025344416.1_Chaemuloni	2048	2082	2042	2082	PF15789.5	Hyr1	6	41	41	23.39	3.2e-05	3.5e-09	1	0	
XP_025344416.1_Chaemuloni	2090	2133	2087	2133	PF15789.5	Hyr1	4	41	41	22.45	6.2e-05	6.9e-09	1	0	
XP_025344416.1_Chaemuloni	2139	2176	2137	2176	PF15789.5	Hyr1	3	41	41	20.66	0.00023	2.5e-08	1	0	
XP_025344416.1_Chaemuloni	2236	2276	2230	2276	PF15789.5	Hyr1	6	41	41	23.46	3.0e-05	3.4e-09	1	0	
XP_025344407.1_Chaemuloni	1337	1361	1333	1361	PF15789.5	Hyr1	17	41	41	23.29	3.4e-05	7.6e-09	1	0	
XP_025344407.1_Chaemuloni	1370	1405	1365	1405	PF15789.5	Hyr1	5	41	41	23.74	2.5e-05	5.5e-09	1	0	
XP_025344407.1_Chaemuloni	1414	1450	1409	1450	PF15789.5	Hyr1	6	41	41	23.45	3.0e-05	6.8e-09	1	0	
XP_025344407.1_Chaemuloni	1501	1540	1499	1540	PF15789.5	Hyr1	3	41	41	24.62	1.3e-05	2.9e-09	1	0	
XP_025344407.1_Chaemuloni	1546	1585	1544	1585	PF15789.5	Hyr1	3	41	41	29.99	2.8e-07	6.1e-11	1	0	
XP_025344407.1_Chaemuloni	1591	1628	1589	1628	PF15789.5	Hyr1	3	41	41	30.51	1.9e-07	4.2e-11	1	0	
XP_025344407.1_Chaemuloni	1635	1673	1632	1673	PF15789.5	Hyr1	4	41	41	30.09	2.5e-07	5.7e-11	1	0	
XP_025344407.1_Chaemuloni	1679	1718	1677	1718	PF15789.5	Hyr1	3	41	41	25.90	5.2e-06	1.2e-09	1	0	
XP_025344407.1_Chaemuloni	1724	1763	1722	1763	PF15789.5	Hyr1	3	41	41	26.29	3.9e-06	8.8e-10	1	0	
XP_025344407.1_Chaemuloni	1769	1808	1767	1808	PF15789.5	Hyr1	3	41	41	26.65	3.0e-06	6.8e-10	1	0	
XP_025344407.1_Chaemuloni	1818	1853	1812	1853	PF15789.5	Hyr1	6	41	41	29.71	3.3e-07	7.5e-11	1	0	
XP_025344407.1_Chaemuloni	1861	1898	1857	1898	PF15789.5	Hyr1	5	41	41	28.89	6.0e-07	1.3e-10	1	0	
XP_025344407.1_Chaemuloni	1908	1943	1902	1943	PF15789.5	Hyr1	6	41	41	30.02	2.7e-07	6.0e-11	1	0	
XP_025344407.1_Chaemuloni	1953	1986	1947	1986	PF15789.5	Hyr1	6	41	41	26.14	4.4e-06	9.8e-10	1	0	
XP_025344407.1_Chaemuloni	1993	2031	1990	2031	PF15789.5	Hyr1	4	41	41	27.27	1.9e-06	4.3e-10	1	0	
XP_025344407.1_Chaemuloni	2037	2076	2035	2076	PF15789.5	Hyr1	3	41	41	26.00	4.9e-06	1.1e-09	1	0	
XP_025344407.1_Chaemuloni	2086	2121	2080	2121	PF15789.5	Hyr1	6	41	41	30.02	2.7e-07	6.0e-11	1	0	
XP_025344407.1_Chaemuloni	2127	2166	2125	2166	PF15789.5	Hyr1	3	41	41	22.70	5.2e-05	1.2e-08	1	0	
XP_025344407.1_Chaemuloni	2172	2211	2170	2211	PF15789.5	Hyr1	3	41	41	24.62	1.3e-05	2.9e-09	1	0	
XP_025344407.1_Chaemuloni	2217	2256	2215	2256	PF15789.5	Hyr1	3	41	41	29.99	2.8e-07	6.1e-11	1	0	
XP_025344407.1_Chaemuloni	2262	2301	2260	2301	PF15789.5	Hyr1	3	41	41	28.22	9.8e-07	2.2e-10	1	0	
XP_025344407.1_Chaemuloni	2307	2344	2305	2344	PF15789.5	Hyr1	3	41	41	23.49	3.0e-05	6.6e-09	1	0	
XP_025344407.1_Chaemuloni	2350	2389	2348	2389	PF15789.5	Hyr1	3	41	41	28.05	1.1e-06	2.5e-10	1	0	
XP_025344407.1_Chaemuloni	2395	2434	2393	2434	PF15789.5	Hyr1	3	41	41	28.63	7.3e-07	1.6e-10	1	0	
XP_025344407.1_Chaemuloni	2442	2477	2438	2477	PF15789.5	Hyr1	5	41	41	23.54	2.8e-05	6.3e-09	1	0	
XP_025344407.1_Chaemuloni	2483	2522	2481	2522	PF15789.5	Hyr1	3	41	41	29.99	2.8e-07	6.1e-11	1	0	
XP_025344407.1_Chaemuloni	2528	2567	2526	2567	PF15789.5	Hyr1	3	41	41	26.55	3.3e-06	7.3e-10	1	0	
XP_025344407.1_Chaemuloni	2573	2612	2571	2612	PF15789.5	Hyr1	3	41	41	24.38	1.6e-05	3.5e-09	1	0	
XP_025344407.1_Chaemuloni	2618	2657	2616	2657	PF15789.5	Hyr1	3	41	41	24.62	1.3e-05	2.9e-09	1	0	
XP_025344407.1_Chaemuloni	2663	2702	2661	2702	PF15789.5	Hyr1	3	41	41	29.99	2.8e-07	6.1e-11	1	0	
XP_025344407.1_Chaemuloni	2708	2745	2706	2745	PF15789.5	Hyr1	3	41	41	30.51	1.9e-07	4.2e-11	1	0	
XP_025344407.1_Chaemuloni	2752	2790	2749	2790	PF15789.5	Hyr1	4	41	41	30.09	2.5e-07	5.7e-11	1	0	
XP_025344407.1_Chaemuloni	2796	2835	2794	2835	PF15789.5	Hyr1	3	41	41	25.90	5.2e-06	1.2e-09	1	0	
XP_025344407.1_Chaemuloni	2841	2880	2839	2880	PF15789.5	Hyr1	3	41	41	22.34	6.7e-05	1.5e-08	1	0	
XP_025344407.1_Chaemuloni	2886	2925	2884	2925	PF15789.5	Hyr1	3	41	41	23.14	3.8e-05	8.5e-09	1	0	
XP_025344407.1_Chaemuloni	2931	2970	2929	2970	PF15789.5	Hyr1	3	41	41	28.05	1.1e-06	2.5e-10	1	0	
XP_025344407.1_Chaemuloni	2976	3015	2974	3015	PF15789.5	Hyr1	3	41	41	26.68	3.0e-06	6.6e-10	1	0	
XP_025344407.1_Chaemuloni	3021	3060	3019	3060	PF15789.5	Hyr1	3	41	41	21.58	0.00012	2.6e-08	1	0	
XP_025344407.1_Chaemuloni	3066	3103	3064	3103	PF15789.5	Hyr1	3	41	41	28.38	8.7e-07	2.0e-10	1	0	
XP_025344407.1_Chaemuloni	3109	3148	3107	3148	PF15789.5	Hyr1	3	41	41	28.25	9.6e-07	2.1e-10	1	0	
XP_025344407.1_Chaemuloni	3154	3193	3152	3193	PF15789.5	Hyr1	3	41	41	29.56	3.8e-07	8.4e-11	1	0	
XP_025344407.1_Chaemuloni	3199	3236	3197	3236	PF15789.5	Hyr1	3	41	41	24.34	1.6e-05	3.6e-09	1	0	
XP_025344407.1_Chaemuloni	3243	3281	3240	3281	PF15789.5	Hyr1	4	41	41	26.88	2.6e-06	5.7e-10	1	0	
XP_025344407.1_Chaemuloni	3287	3326	3285	3326	PF15789.5	Hyr1	3	41	41	27.93	1.2e-06	2.7e-10	1	0	
