Sequence	Aggregation	Conc_Stab_Aggregation
XP_028889033.1_Cauris	28009.29	28009.29
XP_028888611.1_Cauris	13864.50	13864.50
XP_025344416.1_Chaemuloni	23141.95	23141.95
XP_024713121.1_Cpseudohaemulonis	34426.67	34426.67
XP_025334498.1_Cduobushaemulonis	30564.40	30564.40
XP_025344407.1_Chaemuloni	34540.41	34540.41
XP_025335682.1_Cduobushaemulonis	13756.30	13756.30
XP_025344601.1_Chaemuloni	13533.15	13533.15
XP_025342839.1_Chaemuloni	10596.35	10596.35
XP_024713119.1_Cpseudohaemulonis	4371.17	4371.17
XP_025337653.1_Cduobushaemulonis	5037.44	5037.44
XP_025341971.1_Chaemuloni	5745.89	5745.89
XP_025334500.1_Cduobushaemulonis	6851.06	6851.06
XP_025343300.1_Chaemuloni	18581.93	18581.93
XP_028889034.1_Cauris	3131.83	3131.83
XP_028887965.1_Cauris	4029.20	4029.20
XP_024712323.1_Cpseudohaemulonis	5771.16	5771.16
XP_024711259.1_Cpseudohaemulonis	4235.46	4235.46
XP_025335995.1_Cduobushaemulonis	3476.15	3476.15
XP_024711351.1_Cpseudohaemulonis	14909.35	14909.35
XP_025338053.1_Cduobushaemulonis	7991.48	7991.48
XP_028892406.1_Cauris	11497.21	11497.21
XP_025337648.1_Cduobushaemulonis	5331.54	5331.54
XP_024712318.1_Cpseudohaemulonis	21401.81	21401.81
XP_025343289.1_Chaemuloni	3506.33	3506.33
XP_024716363.1_Cpseudohaemulonis	4504.97	4504.97
XP_024711350.1_Cpseudohaemulonis	5821.97	5821.97
XP_025341988.1_Chaemuloni	3997.16	3997.16
XP_462630.1_Dhansenii	4973.83	4973.83
XP_025336698.1_Cduobushaemulonis	1914.93	1914.93
XP_002770057.1_Dhansenii	10596.76	10596.76
XP_025341634.1_Chaemuloni	3803.72	3803.72
XP_028892087.1_Cauris	2051.46	2051.46
XP_025335681.1_Cduobushaemulonis	8615.01	8615.01
XP_024711300.1_Cpseudohaemulonis	2862.28	2862.28
XP_025344020.1_Chaemuloni	2066.60	2066.60
XP_028889361.1_Cauris	4259.30	4259.30
XP_025344415.1_Chaemuloni	3592.48	3592.48
XP_024713725.1_Cpseudohaemulonis	3880.90	3880.90
XP_025339494.1_Cduobushaemulonis	4171.61	4171.61
XP_025336343.1_Cduobushaemulonis	1918.04	1918.04
XP_024713752.1_Cpseudohaemulonis	2156.68	2156.68
XP_025344412.1_Chaemuloni	1654.78	1654.78
XP_001386379.2_Sstipitis	2825.38	2825.38
XP_002550900.1_Ctropicalis	2420.86	2420.86
XP_002547764.1_Ctropicalis	5927.01	5927.01
XP_714203.1_Calbicans	5662.61	5662.61
XP_711686.2_Calbicans	7688.37	7688.37
XP_001385882.2_Sstipitis	3400.35	3400.35
XP_002547617.1_Ctropicalis	2743.06	2743.06
XP_002547615.1_Ctropicalis	1918.42	1918.42
XP_718630.1_Calbicans	5551.90	5551.90
XP_717330.2_Calbicans	5542.84	5542.84
XP_001386404.2_Sstipitis	4491.62	4491.62
XP_714246.2_Calbicans	2566.99	2566.99
XP_002418802.1_Cdubliniensis	3690.33	3690.33
XP_002421924.1_Cdubliniensis	5191.94	5191.94
XP_002421951.1_Cdubliniensis	5971.62	5971.62
XP_002421505.1_Cdubliniensis	8499.63	8499.63
XP_002420471.1_Cdubliniensis	4260.76	4260.76
XP_002549927.1_Ctropicalis	2951.70	2951.70
XP_002421668.1_Cdubliniensis	6046.27	6046.27
XP_715137.2_Calbicans	5514.21	5514.21
XP_002421681.1_Cdubliniensis	6152.61	6152.61
XP_002420246.1_Cdubliniensis	8612.95	8612.95
XP_715535.1_Calbicans	7405.43	7405.43
XP_002546360.1_Ctropicalis	4414.16	4414.16
XP_717969.1_Calbicans	6978.42	6978.42
XP_714201.2_Calbicans	4668.49	4668.49
XP_002420375.1_Cdubliniensis	3832.85	3832.85
XP_002547620.1_Ctropicalis	4406.37	4406.37
XP_002545452.1_Ctropicalis	7450.95	7450.95
XP_002550128.1_Ctropicalis	5715.72	5715.72
XP_001385681.2_Sstipitis	7415.92	7415.92
XP_722183.2_Calbicans	5079.67	5079.67
XP_001523105.1_Lelongisporus	19864.17	19864.17
XP_002419003.1_Cdubliniensis	3302.69	3302.69
XP_003678549.1_Ncastellii	7609.34	7609.34
XP_717774.1_Calbicans	3502.84	3502.84
XP_002550387.1_Ctropicalis	2638.52	2638.52
XP_002547891.1_Ctropicalis	3388.64	3388.64
XP_002614829.1_Clusitaniae	7858.81	7858.81
XP_002419002.1_Cdubliniensis	7029.04	7029.04
XP_002547904.1_Ctropicalis	5267.96	5267.96
XP_002614815.1_Clusitaniae	5256.78	5256.78
XP_447567.2_Cglabrata	7240.24	7240.24
XP_002614120.1_Clusitaniae	4280.10	4280.10
XP_001383953.2_Sstipitis	11314.46	11314.46
XP_445977.1_Cglabrata	4669.71	4669.71
B9J08_004098_Cauris	10920.75	10920.75
CLUG_05233_Clusitaniae	7681.06	7681.06
CPAR2_600430_Cparapsilosis	6420.37	6420.37
CPAR2_806390_Cparapsilosis	6974.69	6974.69
CPAR2_806410_Cparapsilosis	5155.08	5155.08
CPAR2_806420_Cparapsilosis	5661.91	5661.91
NADE0s05e04136g_Ndelphensis	1874.90	1874.90
XP_452176.1_Klactis	4079.48	4079.48
CABR0s21e03234g_Nbracarensis	4403.71	4403.71
CABR0s31e03938g_Nbracarensis	1353.52	1353.52
CANI0s04e00110g_Nnivariensis	3390.36	3390.36
