Accession,Organism,Query,Rank Per Query,Rank Per Subject,Align Length,E-Value,Score,Identity,Query Coverage
PIS50647.1,Candida auris strain B11221,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],1,1,316,0,615.535,1,1
C1_13450W_B-T-p1,Candida albicans SC5314_B,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],1,1,324,0,644.04,1,1
CAGL0E06600g-T-p1,Candida glabrata CBS 138,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],1,1,328,0,658.292,1,1
B9J08_004109-t37_1-p1,Candida auris strain B8441,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],2,1,316,0,614.764,0.9968354430379747,1
C1_13450W_A-T-p1,Candida albicans SC5314,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],2,1,324,0,644.04,1,1
QNG13321.1,Candida glabrata BG2,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],2,1,328,0,650.973,0.9939024390243902,1
PSK76857.1,Candida auris strain B11243,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],3,1,316,0,613.224,0.9936708860759493,1
CAWG_00106-T-p1,Candida albicans WO-1,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],3,1,324,0,638.262,0.9907407407407407,1
QNG14727.1,Candida glabrata BG2,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],3,1,325,9.63312e-95,312.768,0.5261538461538462,0.9908536585365854
PSK74847.1,Candida auris strain B11243,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],4,1,315,1.57342e-171,518.079,0.8412698412698413,0.9968354430379747
CAX41550.1,Candida dubliniensis CD36,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],4,1,327,4.593e-108,340.502,0.5382262996941896,0.9907407407407407
CAGL0I07293g-T-p1,Candida glabrata CBS 138,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],4,1,325,1.71809e-94,311.997,0.5230769230769231,0.9908536585365854
B9J08_004892-t37_1-p1,Candida auris strain B8441,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],5,1,315,4.02785e-169,516.538,0.834920634920635,0.9968354430379747
C5_00730W_B-T-p1,Candida albicans SC5314_B,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],5,1,332,1.51812e-87,290.041,0.48493975903614456,1
EDK37116.2,Meyerozyma guilliermondii ATCC 6260,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],5,3,326,7.56075e-27,113.62,0.3128834355828221,0.9664634146341463
PIS49873.1,Candida auris strain B11221,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],6,1,315,5.82468e-169,515.768,0.834920634920635,0.9968354430379747
C5_00730W_A-T-p1,Candida albicans SC5314,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],6,1,332,1.51812e-87,290.041,0.48493975903614456,1
EDK41808.2,Meyerozyma guilliermondii ATCC 6260,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],6,3,328,7.62901e-24,107.457,0.3018292682926829,0.9725609756097561
CXQ85_003766-t46_1-p1,Candida haemulonis B11899,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],7,1,313,2.23582e-162,506.138,0.8210862619808307,0.990506329113924
CAWG_04466-T-p1,Candida albicans WO-1,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],7,1,332,2.14929e-87,287.73,0.48493975903614456,1
KAA8902727.1,Diutina rugosa CBS 613,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],7,3,307,3.52483e-23,102.449,0.31596091205211724,0.9146341463414634
CXQ87_001664-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],8,1,315,2.70677e-152,477.248,0.7619047619047619,0.9968354430379747
CTRG_02071-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],8,1,328,4.33889e-86,286.96,0.4573170731707317,0.9938271604938271
KAA8902736.1,Diutina rugosa CBS 613,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],8,2,291,3.10313e-22,102.449,0.3024054982817869,0.8719512195121951
CXQ85_003757-t46_1-p1,Candida haemulonis B11899,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],9,1,316,3.07727e-152,477.248,0.7753164556962026,0.9936708860759493
CTRG_05198-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],9,1,330,1.60837e-84,272.322,0.4393939393939394,0.9938271604938271
CAH02569.1,Kluyveromyces lactis NRRL Y-1140,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],9,1,304,1.04379e-21,100.908,0.3092105263157895,0.9054878048780488
PSK37586.1,Candida pseudohaemulonii strain B12108,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],10,1,315,6.8798e-152,476.093,0.7777777777777778,0.9968354430379747
CTRG_04224-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],10,1,333,2.56797e-83,274.633,0.4444444444444444,1
EDK37104.2,Meyerozyma guilliermondii ATCC 6260,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],10,3,333,1.55151e-21,100.523,0.3213213213213213,0.9878048780487805
CXQ87_005018-t45_1-p1,Candida duobushaemulonis strain B09383,Caur_Hil1 XP_028889033.1:12-327 uncharacterized protein CJI97_004172 [[Candida] auris],11,1,316,9.354e-149,463.766,0.7531645569620253,1
CTRG_05838-t43_1-p1,Candida tropicalis MYA-3404,Calb_Hyr1 XP_722183.2:11-334 Hyr1p [Candida albicans SC5314],11,1,325,3.08829e-82,276.559,0.4523076923076923,0.9660493827160493
KAA8902728.1,Diutina rugosa CBS 613,Cgla_Hyr1 XP_445977.1:14-341 uncharacterized protein CAGL0E06600g [[Candida] glabrata],11,2,286,4.43625e-21,99.3673,0.3111888111888112,0.8628048780487805
