name	div
XP_028889033.1_B11221_Cauris	525
XP_028889033.1_B11221_Cauris	568
XP_028889033.1_B11221_Cauris	611
XP_028889033.1_B11221_Cauris	654
XP_028889033.1_B11221_Cauris	697
XP_028889033.1_B11221_Cauris	740
XP_028889033.1_B11221_Cauris	783
XP_028889033.1_B11221_Cauris	826
XP_028889033.1_B11221_Cauris	869
XP_028889033.1_B11221_Cauris	912
XP_028889033.1_B11221_Cauris	955
XP_028889033.1_B11221_Cauris	998
XP_028889033.1_B11221_Cauris	1041
XP_028889033.1_B11221_Cauris	1084
XP_028889033.1_B11221_Cauris	1127
XP_028889033.1_B11221_Cauris	1170
XP_028889033.1_B11221_Cauris	1213
XP_028889033.1_B11221_Cauris	1256
XP_028889033.1_B11221_Cauris	1299
XP_028889033.1_B11221_Cauris	1342
XP_028889033.1_B11221_Cauris	1385
XP_028889033.1_B11221_Cauris	1428
XP_028889033.1_B11221_Cauris	1471
XP_028889033.1_B11221_Cauris	1514
XP_028889033.1_B11221_Cauris	1557
XP_028889033.1_B11221_Cauris	1600
XP_028889033.1_B11221_Cauris	1643
XP_028889033.1_B11221_Cauris	1686
XP_028889033.1_B11221_Cauris	1729
XP_028889033.1_B11221_Cauris	1772
XP_028889033.1_B11221_Cauris	1815
XP_028889033.1_B11221_Cauris	1858
XP_028889033.1_B11221_Cauris	1901
XP_028889033.1_B11221_Cauris	1944
XP_028889033.1_B11221_Cauris	1987
XP_028889033.1_B11221_Cauris	2030
XP_028889033.1_B11221_Cauris	2073
XP_028889033.1_B11221_Cauris	2116
XP_028889033.1_B11221_Cauris	2159
XP_028889033.1_B11221_Cauris	2202
XP_028889033.1_B11221_Cauris	2245
XP_028889033.1_B11221_Cauris	2288
XP_028889033.1_B11221_Cauris	2331
XP_028889033.1_B11221_Cauris	2374
XP_028889033.1_B11221_Cauris	2417
XP_028889033.1_B11221_Cauris	2460
XP_028889033.1_B11221_Cauris	2503
XP_028889033.1_B11221_Cauris	2546
XP_028889033.1_B11221_Cauris	2589
XP_028889033.1_B11221_Cauris	2632
XP_028889033.1_B11221_Cauris	2637
XP_028889033.1_B11221_Cauris	350
XP_028889033.1_B11221_Cauris	374
XP_028889033.1_B11221_Cauris	398
XP_028889033.1_B11221_Cauris	422
XP_028889033.1_B11221_Cauris	446
XP_028889033.1_B11221_Cauris	470
XP_028889033.1_B11221_Cauris	479
XP_028889033.1_B11221_Cauris	2789
XP_028889033.1_B11221_Cauris	2796
XP_028889033.1_B11221_Cauris	2803
XP_028889033.1_B11221_Cauris	2803
