# TBLASTN 2.12.0+
# Query: XP_028889033.1_Cauris
# Database: ../input/blastdb/Cand_auris_strains
# Fields: subject id, % query coverage per subject, q. start, q. end, subject length, s. start, s. end, % identity, mismatches, evalue
# 31 hits found
gb|CP060358.1|	100	1	3052	945302	925910	916755	100.000	0	0.0
gb|PGLS01000005.1|	100	1	3052	949235	23449	32604	100.000	0	0.0
gb|CP060373.1|	100	1	3052	945735	24671	33898	99.220	0	0.0
gb|CP060351.1|	100	1	3052	984263	25433	34462	95.839	85	0.0
gb|CP043447.1|	82	1188	3052	970309	941526	935932	97.373	49	0.0
gb|CP043447.1|	82	541	2211	970309	941487	936418	62.882	535	0.0
gb|CP060344.1|	83	613	3052	978324	26478	33797	86.598	327	0.0
gb|CP060344.1|	83	524	2816	978324	26475	33533	68.683	574	0.0
gb|CP060379.1|	83	613	3052	948455	17166	24485	86.557	328	0.0
gb|CP060379.1|	83	524	2816	948455	17163	24221	68.683	574	0.0
gb|CP060364.1|	40	1551	2678	976263	971141	967752	71.910	269	0.0
gb|CP060364.1|	40	1463	2595	976263	971141	967716	67.836	313	0.0
gb|CP060357.1|	40	1551	2678	996679	25434	28823	71.910	269	0.0
gb|CP060357.1|	40	1463	2595	996679	25434	28859	67.836	313	0.0
gb|CP060378.1|	40	1551	2678	1003434	977079	973690	71.910	269	0.0
gb|CP060378.1|	40	1463	2595	1003434	977079	973654	67.836	313	0.0
gb|CP060343.1|	40	1551	2678	1028427	977027	973638	71.910	269	0.0
gb|CP060343.1|	40	1463	2595	1028427	977027	973602	67.836	313	0.0
gb|CP060365.1|	18	2518	3052	918617	334	1938	98.879	6	0.0
gb|CP060372.1|	37	1648	2678	1042317	969691	966593	71.792	243	0.0
gb|CP060372.1|	37	1560	2595	1042317	969691	966557	67.724	283	0.0
gb|CP060350.1|	33	1595	2502	997114	978453	975760	73.724	206	0.0
gb|CP060350.1|	33	1507	2388	997114	978453	975856	63.895	250	0.0
gb|CP043446.1|	33	1595	2502	988297	969534	966841	73.724	206	0.0
gb|CP043446.1|	33	1507	2388	988297	969534	966937	63.895	250	0.0
gb|PGLS01000006.1|	29	1870	2678	996432	26416	28848	66.706	223	0.0
gb|PGLS01000006.1|	29	1782	2595	996432	26416	28884	65.176	233	0.0
gb|CP060354.1|	52	542	2080	2374258	1466832	1462471	45.460	750	6.22e-174
gb|CP060354.1|	52	583	2121	2374258	1466841	1462477	45.036	759	9.04e-169
gb|CP060361.1|	52	542	2080	2587637	1701021	1696660	45.460	750	6.22e-174
gb|CP060361.1|	52	583	2121	2587637	1701030	1696666	45.036	759	9.04e-169
# BLAST processed 1 queries
